"longitude","latitude","species","geometry","color"
153.56,-28.8663,"Limosa lapponica",c(153.56, -28.8663),"#509E2F"
140.807,-38.0488,"Limosa lapponica",c(140.807, -38.0488),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
149.912,-37.0545,"Limosa lapponica",c(149.912, -37.0545),"#509E2F"
153.134,-27.0483,"Limosa lapponica",c(153.134, -27.0483),"#509E2F"
153.092,-27.257,"Limosa lapponica",c(153.092, -27.257),"#509E2F"
145.764,-16.9058,"Limosa lapponica",c(145.764, -16.9058),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.763,-16.9034,"Limosa lapponica",c(145.763, -16.9034),"#509E2F"
147.531,-42.7903,"Limosa lapponica",c(147.531, -42.7903),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
150.743,-34.908,"Limosa lapponica",c(150.743, -34.908),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
153.429,-28.0887,"Limosa lapponica",c(153.429, -28.0887),"#509E2F"
153.347,-29.4277,"Limosa lapponica",c(153.347, -29.4277),"#509E2F"
145.406,-16.43,"Limosa lapponica",c(145.406, -16.43),"#509E2F"
150.847,-34.5416,"Limosa lapponica",c(150.847, -34.5416),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
138.535,-34.7389,"Limosa lapponica",c(138.535, -34.7389),"#509E2F"
150.744,-34.8476,"Limosa lapponica",c(150.744, -34.8476),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.125,-36.128,"Limosa lapponica",c(150.125, -36.128),"#509E2F"
150.445,-35.3882,"Limosa lapponica",c(150.445, -35.3882),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
151.703,-32.8406,"Limosa lapponica",c(151.703, -32.8406),"#509E2F"
152.603,-31.9547,"Limosa lapponica",c(152.603, -31.9547),"#509E2F"
146.75,-19.25,"Limosa lapponica",c(146.75, -19.25),"#509E2F"
153.073,-27.0061,"Limosa lapponica",c(153.073, -27.0061),"#509E2F"
152.874,-25.6098,"Limosa lapponica",c(152.874, -25.6098),"#509E2F"
153.184,-27.3757,"Limosa lapponica",c(153.184, -27.3757),"#509E2F"
153.039,-30.9156,"Limosa lapponica",c(153.039, -30.9156),"#509E2F"
150.861,-34.5378,"Limosa lapponica",c(150.861, -34.5378),"#509E2F"
151.966,-32.6619,"Limosa lapponica",c(151.966, -32.6619),"#509E2F"
150.847,-34.5416,"Limosa lapponica",c(150.847, -34.5416),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
145.763,-16.9034,"Limosa lapponica",c(145.763, -16.9034),"#509E2F"
150.835,-34.4875,"Limosa lapponica",c(150.835, -34.4875),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.113,-27.0861,"Limosa lapponica",c(153.113, -27.0861),"#509E2F"
150.508,-35.2671,"Limosa lapponica",c(150.508, -35.2671),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
151.128,-33.8575,"Limosa lapponica",c(151.128, -33.8575),"#509E2F"
153.023,-30.5069,"Limosa lapponica",c(153.023, -30.5069),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
151.078,-33.8373,"Limosa lapponica",c(151.078, -33.8373),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
150.87,-23.5300000156874,"Limosa lapponica",c(150.87, -23.5300000156874),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
145.393,-16.4439,"Limosa lapponica",c(145.393, -16.4439),"#509E2F"
153.036,-27.1956,"Limosa lapponica",c(153.036, -27.1956),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.769,-16.9111,"Limosa lapponica",c(145.769, -16.9111),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.102,-27.3441,"Limosa lapponica",c(153.102, -27.3441),"#509E2F"
150.446,-35.391,"Limosa lapponica",c(150.446, -35.391),"#509E2F"
138.023,-34.2244,"Limosa lapponica",c(138.023, -34.2244),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.177,-27.4421,"Limosa lapponica",c(153.177, -27.4421),"#509E2F"
149.756,-37.5562,"Limosa lapponica",c(149.756, -37.5562),"#509E2F"
153.038,-27.2769,"Limosa lapponica",c(153.038, -27.2769),"#509E2F"
152.907,-31.4319,"Limosa lapponica",c(152.907, -31.4319),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.184,-27.3757,"Limosa lapponica",c(153.184, -27.3757),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
150.842,-34.4859,"Limosa lapponica",c(150.842, -34.4859),"#509E2F"
150.741,-34.9095,"Limosa lapponica",c(150.741, -34.9095),"#509E2F"
153.206,-27.4812,"Limosa lapponica",c(153.206, -27.4812),"#509E2F"
150.744,-34.8476,"Limosa lapponica",c(150.744, -34.8476),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
145.774,-16.9159,"Limosa lapponica",c(145.774, -16.9159),"#509E2F"
152.395,-24.7711,"Limosa lapponica",c(152.395, -24.7711),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
135.40567,-14.83783,"Limosa lapponica",c(135.40567, -14.83783),"#509E2F"
149.184,-21.1795,"Limosa lapponica",c(149.184, -21.1795),"#509E2F"
153.039,-30.9156,"Limosa lapponica",c(153.039, -30.9156),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.404,-16.4339,"Limosa lapponica",c(145.404, -16.4339),"#509E2F"
147.11,-19.3976,"Limosa lapponica",c(147.11, -19.3976),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
147.11,-19.3976,"Limosa lapponica",c(147.11, -19.3976),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.168,-27.4224,"Limosa lapponica",c(153.168, -27.4224),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
145.764,-16.9058,"Limosa lapponica",c(145.764, -16.9058),"#509E2F"
150.744,-34.8476,"Limosa lapponica",c(150.744, -34.8476),"#509E2F"
145.237,-38.4794,"Limosa lapponica",c(145.237, -38.4794),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
145.444,-16.1708,"Limosa lapponica",c(145.444, -16.1708),"#509E2F"
149.764,-37.5584,"Limosa lapponica",c(149.764, -37.5584),"#509E2F"
146.677,-19.1913,"Limosa lapponica",c(146.677, -19.1913),"#509E2F"
152.874,-25.6094,"Limosa lapponica",c(152.874, -25.6094),"#509E2F"
145.242,-38.4887,"Limosa lapponica",c(145.242, -38.4887),"#509E2F"
153.053,-27.2415,"Limosa lapponica",c(153.053, -27.2415),"#509E2F"
152.691,-31.877,"Limosa lapponica",c(152.691, -31.877),"#509E2F"
153.064,-27.2558,"Limosa lapponica",c(153.064, -27.2558),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
152.395,-24.7711,"Limosa lapponica",c(152.395, -24.7711),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
145.761,-16.9014,"Limosa lapponica",c(145.761, -16.9014),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.764,-16.9058,"Limosa lapponica",c(145.764, -16.9058),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.835,-34.4875,"Limosa lapponica",c(150.835, -34.4875),"#509E2F"
149.764,-37.5712,"Limosa lapponica",c(149.764, -37.5712),"#509E2F"
146.836,-19.2636,"Limosa lapponica",c(146.836, -19.2636),"#509E2F"
153,-25.9207,"Limosa lapponica",c(153, -25.9207),"#509E2F"
152.691,-31.877,"Limosa lapponica",c(152.691, -31.877),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
153.168,-27.4224,"Limosa lapponica",c(153.168, -27.4224),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
149.201,-21.144,"Limosa lapponica",c(149.201, -21.144),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
151.439,-33.3342,"Limosa lapponica",c(151.439, -33.3342),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
153.038,-27.2769,"Limosa lapponica",c(153.038, -27.2769),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.134,-27.0483,"Limosa lapponica",c(153.134, -27.0483),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
149.919,-36.8882,"Limosa lapponica",c(149.919, -36.8882),"#509E2F"
149.764,-37.5712,"Limosa lapponica",c(149.764, -37.5712),"#509E2F"
153.174,-27.4345,"Limosa lapponica",c(153.174, -27.4345),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
151.078,-33.8373,"Limosa lapponica",c(151.078, -33.8373),"#509E2F"
153.571,-28.8645,"Limosa lapponica",c(153.571, -28.8645),"#509E2F"
151.149,-33.8656,"Limosa lapponica",c(151.149, -33.8656),"#509E2F"
147.482,-19.4543,"Limosa lapponica",c(147.482, -19.4543),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
132.0512,-12.29859,"Limosa lapponica",c(132.0512, -12.29859),"#509E2F"
151.194,-33.955,"Limosa lapponica",c(151.194, -33.955),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
153.383,-27.8772,"Limosa lapponica",c(153.383, -27.8772),"#509E2F"
153.168,-27.4224,"Limosa lapponica",c(153.168, -27.4224),"#509E2F"
152.691,-31.877,"Limosa lapponica",c(152.691, -31.877),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
146.677,-19.1913,"Limosa lapponica",c(146.677, -19.1913),"#509E2F"
151.129,-34.0208,"Limosa lapponica",c(151.129, -34.0208),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
152.843,-31.5507,"Limosa lapponica",c(152.843, -31.5507),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.102,-27.3441,"Limosa lapponica",c(153.102, -27.3441),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
151.79,-32.8834,"Limosa lapponica",c(151.79, -32.8834),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.168,-27.4224,"Limosa lapponica",c(153.168, -27.4224),"#509E2F"
152.903,-31.4181,"Limosa lapponica",c(152.903, -31.4181),"#509E2F"
147.537,-42.7881,"Limosa lapponica",c(147.537, -42.7881),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
140.838,-17.4438,"Limosa lapponica",c(140.838, -17.4438),"#509E2F"
153.119,-27.0255,"Limosa lapponica",c(153.119, -27.0255),"#509E2F"
130.16289,-13.17193,"Limosa lapponica",c(130.16289, -13.17193),"#509E2F"
151.208,-33.9611,"Limosa lapponica",c(151.208, -33.9611),"#509E2F"
153.058,-25.8986,"Limosa lapponica",c(153.058, -25.8986),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
153.184,-27.3757,"Limosa lapponica",c(153.184, -27.3757),"#509E2F"
145.765,-16.9081,"Limosa lapponica",c(145.765, -16.9081),"#509E2F"
153.088,-26.6386,"Limosa lapponica",c(153.088, -26.6386),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
133.895,-11.91167,"Limosa lapponica",c(133.895, -11.91167),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
152.489,-32.3835,"Limosa lapponica",c(152.489, -32.3835),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
153.184,-27.3757,"Limosa lapponica",c(153.184, -27.3757),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
122.267,-17.7833,"Limosa lapponica",c(122.267, -17.7833),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
152.691,-31.877,"Limosa lapponica",c(152.691, -31.877),"#509E2F"
152.603,-31.9547,"Limosa lapponica",c(152.603, -31.9547),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
153.066,-27.2922,"Limosa lapponica",c(153.066, -27.2922),"#509E2F"
150.83,-23.5200000156716,"Limosa lapponica",c(150.83, -23.5200000156716),"#509E2F"
144.6679,-37.9985,"Limosa lapponica",c(144.6679, -37.9985),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
150.773,-34.9466,"Limosa lapponica",c(150.773, -34.9466),"#509E2F"
153.435,-27.5746,"Limosa lapponica",c(153.435, -27.5746),"#509E2F"
151.467,-33.3276,"Limosa lapponica",c(151.467, -33.3276),"#509E2F"
153.075,-26.3839,"Limosa lapponica",c(153.075, -26.3839),"#509E2F"
150.831,-34.5018,"Limosa lapponica",c(150.831, -34.5018),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
144.804,-37.8795,"Limosa lapponica",c(144.804, -37.8795),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
144.804,-37.8795,"Limosa lapponica",c(144.804, -37.8795),"#509E2F"
153.075,-26.3839,"Limosa lapponica",c(153.075, -26.3839),"#509E2F"
152.903,-31.4181,"Limosa lapponica",c(152.903, -31.4181),"#509E2F"
146.677,-19.1913,"Limosa lapponica",c(146.677, -19.1913),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
152.691,-31.877,"Limosa lapponica",c(152.691, -31.877),"#509E2F"
153.107,-27.0448,"Limosa lapponica",c(153.107, -27.0448),"#509E2F"
150.741,-34.9095,"Limosa lapponica",c(150.741, -34.9095),"#509E2F"
122.301,-17.9733,"Limosa lapponica",c(122.301, -17.9733),"#509E2F"
147.11,-19.3976,"Limosa lapponica",c(147.11, -19.3976),"#509E2F"
152.821,-31.6398,"Limosa lapponica",c(152.821, -31.6398),"#509E2F"
153.168,-27.4224,"Limosa lapponica",c(153.168, -27.4224),"#509E2F"
152.603,-31.9547,"Limosa lapponica",c(152.603, -31.9547),"#509E2F"
151.078,-33.8373,"Limosa lapponica",c(151.078, -33.8373),"#509E2F"
153.083,-27.0833,"Limosa lapponica",c(153.083, -27.0833),"#509E2F"
153.174,-27.4345,"Limosa lapponica",c(153.174, -27.4345),"#509E2F"
152.395,-24.7711,"Limosa lapponica",c(152.395, -24.7711),"#509E2F"
144.50642,-38.046376,"Calidris ruficollis",c(144.50642, -38.046376),"#2F6C99"
144.510294,-38.045701,"Calidris ruficollis",c(144.510294, -38.045701),"#2F6C99"
153.318832,-27.710346,"Calidris ruficollis",c(153.318832, -27.710346),"#2F6C99"
150.7434,-34.859418,"Calidris ruficollis",c(150.7434, -34.859418),"#2F6C99"
150.743385,-34.859427,"Calidris ruficollis",c(150.743385, -34.859427),"#2F6C99"
144.526589,-38.023049,"Calidris ruficollis",c(144.526589, -38.023049),"#2F6C99"
153.168693,-27.406631,"Calidris ruficollis",c(153.168693, -27.406631),"#2F6C99"
153.169516,-27.408706,"Calidris ruficollis",c(153.169516, -27.408706),"#2F6C99"
144.879179,-37.866478,"Calidris ruficollis",c(144.879179, -37.866478),"#2F6C99"
144.879167,-37.866506,"Calidris ruficollis",c(144.879167, -37.866506),"#2F6C99"
144.879262,-37.866368,"Calidris ruficollis",c(144.879262, -37.866368),"#2F6C99"
149.981089,-36.70145,"Calidris ruficollis",c(149.981089, -36.70145),"#2F6C99"
144.532958,-38.041317,"Calidris ruficollis",c(144.532958, -38.041317),"#2F6C99"
144.506711,-38.046623,"Calidris ruficollis",c(144.506711, -38.046623),"#2F6C99"
137.208878,-35.188373,"Calidris ruficollis",c(137.208878, -35.188373),"#2F6C99"
144.506461,-38.047112,"Calidris ruficollis",c(144.506461, -38.047112),"#2F6C99"
144.879258,-37.866633,"Calidris ruficollis",c(144.879258, -37.866633),"#2F6C99"
144.440003,-38.086001,"Calidris ruficollis",c(144.440003, -38.086001),"#2F6C99"
139.852624,-36.809401,"Calidris ruficollis",c(139.852624, -36.809401),"#2F6C99"
144.508078,-38.045623,"Calidris ruficollis",c(144.508078, -38.045623),"#2F6C99"
144.506649,-38.04667,"Calidris ruficollis",c(144.506649, -38.04667),"#2F6C99"
144.380147,-38.302337,"Calidris ruficollis",c(144.380147, -38.302337),"#2F6C99"
144.425433,-38.085168,"Calidris ruficollis",c(144.425433, -38.085168),"#2F6C99"
144.506686,-38.04657,"Calidris ruficollis",c(144.506686, -38.04657),"#2F6C99"
144.571983,-38.02064,"Calidris ruficollis",c(144.571983, -38.02064),"#2F6C99"
144.566923,-38.023123,"Calidris ruficollis",c(144.566923, -38.023123),"#2F6C99"
144.433478,-38.085307,"Calidris ruficollis",c(144.433478, -38.085307),"#2F6C99"
152.601298,-31.958719,"Calidris ruficollis",c(152.601298, -31.958719),"#2F6C99"
144.51195,-38.043681,"Calidris ruficollis",c(144.51195, -38.043681),"#2F6C99"
144.511864,-38.04385,"Calidris ruficollis",c(144.511864, -38.04385),"#2F6C99"
144.511778,-38.043444,"Calidris ruficollis",c(144.511778, -38.043444),"#2F6C99"
144.511993,-38.044356,"Calidris ruficollis",c(144.511993, -38.044356),"#2F6C99"
152.692975,-31.87464,"Calidris ruficollis",c(152.692975, -31.87464),"#2F6C99"
144.50851,-38.039413,"Calidris ruficollis",c(144.50851, -38.039413),"#2F6C99"
148.562618,-37.79908,"Calidris ruficollis",c(148.562618, -37.79908),"#2F6C99"
144.899322,-37.845417,"Calidris ruficollis",c(144.899322, -37.845417),"#2F6C99"
144.380438,-38.300713,"Calidris ruficollis",c(144.380438, -38.300713),"#2F6C99"
144.506727,-38.046576,"Calidris ruficollis",c(144.506727, -38.046576),"#2F6C99"
144.628572,-37.986498,"Calidris ruficollis",c(144.628572, -37.986498),"#2F6C99"
142.103292,-34.201677,"Calidris ruficollis",c(142.103292, -34.201677),"#2F6C99"
121.823611,-33.822195,"Calidris ruficollis",c(121.823611, -33.822195),"#2F6C99"
144.384543,-38.293154,"Calidris ruficollis",c(144.384543, -38.293154),"#2F6C99"
144.563034,-38.027187,"Calidris ruficollis",c(144.563034, -38.027187),"#2F6C99"
150.133348,-36.070543,"Calidris ruficollis",c(150.133348, -36.070543),"#2F6C99"
146.336584,-38.691183,"Calidris ruficollis",c(146.336584, -38.691183),"#2F6C99"
144.378709,-38.301867,"Calidris ruficollis",c(144.378709, -38.301867),"#2F6C99"
139.853309,-36.806455,"Calidris ruficollis",c(139.853309, -36.806455),"#2F6C99"
144.37951,-38.301267,"Calidris ruficollis",c(144.37951, -38.301267),"#2F6C99"
138.163038,-34.269197,"Calidris ruficollis",c(138.163038, -34.269197),"#2F6C99"
147.375924,-42.311068,"Calidris ruficollis",c(147.375924, -42.311068),"#2F6C99"
147.376119,-42.31106,"Calidris ruficollis",c(147.376119, -42.31106),"#2F6C99"
144.506675,-38.04679,"Calidris ruficollis",c(144.506675, -38.04679),"#2F6C99"
144.377853,-38.302502,"Calidris ruficollis",c(144.377853, -38.302502),"#2F6C99"
144.635062,-37.988153,"Calidris ruficollis",c(144.635062, -37.988153),"#2F6C99"
144.635062,-37.988153,"Calidris ruficollis",c(144.635062, -37.988153),"#2F6C99"
144.635062,-37.988153,"Calidris ruficollis",c(144.635062, -37.988153),"#2F6C99"
144.635062,-37.988153,"Calidris ruficollis",c(144.635062, -37.988153),"#2F6C99"
144.506582,-38.04689,"Calidris ruficollis",c(144.506582, -38.04689),"#2F6C99"
144.528515,-38.040134,"Calidris ruficollis",c(144.528515, -38.040134),"#2F6C99"
144.378961,-38.303674,"Calidris ruficollis",c(144.378961, -38.303674),"#2F6C99"
144.378382,-38.302023,"Calidris ruficollis",c(144.378382, -38.302023),"#2F6C99"
144.578779,-38.017641,"Calidris ruficollis",c(144.578779, -38.017641),"#2F6C99"
144.378986,-38.301578,"Calidris ruficollis",c(144.378986, -38.301578),"#2F6C99"
117.448993,-34.918358,"Calidris ruficollis",c(117.448993, -34.918358),"#2F6C99"
144.378793,-38.301671,"Calidris ruficollis",c(144.378793, -38.301671),"#2F6C99"
144.566575,-38.024597,"Calidris ruficollis",c(144.566575, -38.024597),"#2F6C99"
144.377951,-38.302313,"Calidris ruficollis",c(144.377951, -38.302313),"#2F6C99"
152.687683,-31.879397,"Calidris ruficollis",c(152.687683, -31.879397),"#2F6C99"
144.378436,-38.302818,"Calidris ruficollis",c(144.378436, -38.302818),"#2F6C99"
152.690893,-31.877746,"Calidris ruficollis",c(152.690893, -31.877746),"#2F6C99"
144.506675,-38.046971,"Calidris ruficollis",c(144.506675, -38.046971),"#2F6C99"
144.506683,-38.047028,"Calidris ruficollis",c(144.506683, -38.047028),"#2F6C99"
144.377767,-38.302565,"Calidris ruficollis",c(144.377767, -38.302565),"#2F6C99"
145.777314,-16.918624,"Calidris ruficollis",c(145.777314, -16.918624),"#2F6C99"
150.131764,-36.070436,"Calidris ruficollis",c(150.131764, -36.070436),"#2F6C99"
144.506242,-38.047445,"Calidris ruficollis",c(144.506242, -38.047445),"#2F6C99"
144.570279,-38.019757,"Calidris ruficollis",c(144.570279, -38.019757),"#2F6C99"
138.445383,-35.269662,"Calidris ruficollis",c(138.445383, -35.269662),"#2F6C99"
138.444388,-35.270232,"Calidris ruficollis",c(138.444388, -35.270232),"#2F6C99"
144.568214,-38.021368,"Calidris ruficollis",c(144.568214, -38.021368),"#2F6C99"
144.568214,-38.021368,"Calidris ruficollis",c(144.568214, -38.021368),"#2F6C99"
138.445814,-35.269482,"Calidris ruficollis",c(138.445814, -35.269482),"#2F6C99"
144.61534,-36.896948,"Calidris ruficollis",c(144.61534, -36.896948),"#2F6C99"
142.10181,-34.203684,"Calidris ruficollis",c(142.10181, -34.203684),"#2F6C99"
150.129825,-36.069961,"Calidris ruficollis",c(150.129825, -36.069961),"#2F6C99"
138.446111,-34.649007,"Calidris ruficollis",c(138.446111, -34.649007),"#2F6C99"
138.44313,-35.27242,"Calidris ruficollis",c(138.44313, -35.27242),"#2F6C99"
144.378145,-38.30135,"Calidris ruficollis",c(144.378145, -38.30135),"#2F6C99"
144.377673,-38.302354,"Calidris ruficollis",c(144.377673, -38.302354),"#2F6C99"
144.377587,-38.302152,"Calidris ruficollis",c(144.377587, -38.302152),"#2F6C99"
144.437821,-38.085894,"Calidris ruficollis",c(144.437821, -38.085894),"#2F6C99"
138.443234,-34.647665,"Calidris ruficollis",c(138.443234, -34.647665),"#2F6C99"
145.774307,-16.915998,"Calidris ruficollis",c(145.774307, -16.915998),"#2F6C99"
145.774307,-16.915998,"Calidris ruficollis",c(145.774307, -16.915998),"#2F6C99"
145.774307,-16.915998,"Calidris ruficollis",c(145.774307, -16.915998),"#2F6C99"
138.446558,-35.334767,"Calidris ruficollis",c(138.446558, -35.334767),"#2F6C99"
